9109里温泉	九十九里温泉	螺髻山九十九里温泉瀑布 (Las Cascadas Termales Jiushijiuli)	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=178330165
inubosaki-onsen	犬吠埼温泉	Gyokeikan	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=83523925
御宿温泉	御宿温泉	Kotohira Ryokan Shikishimakan 2021-08 ac (1)	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=108865754
御宿温泉	御宿温泉	Hotel Nono Toyama	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=51289767
御宿温泉	御宿温泉	御宿かわせみ 露天風呂写真	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=74611969
katsuura	勝浦温泉	100_2467	cc0	flickr	https://www.flickr.com/photos/137596559@N07/49902154283
katsuura	勝浦温泉	勝浦温泉「越之湯」 - panoramio	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=54428697
kominato	小湊温泉	養老渓谷駅P1010094	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=4222666
chikura	千倉温泉	Togura Kamiyamada Onsen	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=44385171
chikura-onsen	千倉温泉	Togura Kamiyamada Onsen	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=44385171
長生温泉	長生温泉	Katakura-kan (old hot spring facilities) Nagano,JAPAN	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=123218658
長生温泉	長生温泉	長湯温泉 長生湯	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=134724357
長生温泉	長生温泉	北海道道573号桜野野田生停車場線・国道5号交点（2枚合成、上・国道5号起点（函館）側、下・同道終点（札幌・長万部）側）・2018年7月当時の「方面及び方向（108の2-A）」標識	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=74478302
shirako	白子温泉	白玉っ子 @ Kurokawa Onsen	by-sa	flickr	https://www.flickr.com/photos/84056180@N00/4115138994
shirako	白子温泉	白玉っ子 @ Kurokawa Onsen	by-sa	flickr	https://www.flickr.com/photos/84056180@N00/4115138056
shirako	白子温泉	ピッツェリア・リアナのパスタ	by-sa	flickr	https://www.flickr.com/photos/61721552@N00/2151710230
shirasato-onsen	白子温泉	白玉っ子 @ Kurokawa Onsen	by-sa	flickr	https://www.flickr.com/photos/84056180@N00/4115138994
shirasato-onsen	白子温泉	白玉っ子 @ Kurokawa Onsen	by-sa	flickr	https://www.flickr.com/photos/84056180@N00/4115138056
shirasato-onsen	白子温泉	ピッツェリア・リアナのパスタ	by-sa	flickr	https://www.flickr.com/photos/61721552@N00/2151710230
shirahama	白浜温泉	崎の湯	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=2563217
shirahama	白浜温泉	Sakurajima Shirahama Hot spa center	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=20747631
shirahama	白浜温泉	砿湯温泉 南紀白浜 Nov 29, 2014	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=131708117
松乃温泉	松乃温泉	木部谷温泉 松乃湯	by	flickr	https://www.flickr.com/photos/39975399@N00/6314389590
松乃温泉	松乃温泉	Minakami hotsprong Matunoi	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=22801213
数馬温泉	数馬温泉	檜原温泉センター 数馬の湯(三頭山トレッキング) Mitosan Trekking	by	flickr	https://www.flickr.com/photos/92203585@N00/3054265525
数馬温泉	数馬温泉	Kazumano-Yu	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=127375310
数馬温泉	数馬温泉	Hinohara Onsen Center 檜原温泉センター 数馬の湯(三頭山トレッキング)	by	flickr	https://www.flickr.com/photos/92203585@N00/3054244567
oshima	大島温泉郷	Hongo-saboudam	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=67879072
oshima	大島温泉郷	Hongo-onsen-hotels02	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=67879085
oshima	大島温泉郷	Otani-river	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=67879086
heiwajima-onsen	天然温泉平和島	Heiwajima-Tokyo---2025-06-15 058	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=169330506
heiwajima-onsen	天然温泉平和島	Heiwajima-Tokyo---2025-06-15 056	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=169330505
heiwajima-onsen	天然温泉平和島	Heiwajima-Tokyo---2025-06-15 057	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=169330504
